Time (s),X (m),Y (m),Z (m),VX (m/s),VY (m/s),VZ (m/s)
00.1,-0.6030153689607046,0.65,0.016610507166283435,4.698463103929543,0.0,1.6120007166283434
00.2,-0.5560307379214091,0.65,0.032240014332566874,4.698463103929543,0.0,1.5139007166283436
00.3,-0.5090461068821137,0.65,0.046888521498850304,4.698463103929543,0.0,1.4158007166283435
00.4,-0.4620614758428183,0.65,0.060556028665133745,4.698463103929543,0.0,1.3177007166283434
00.5,-0.4150768448035229,0.65,0.07324253583141718,4.698463103929543,0.0,1.2196007166283436
00.6,-0.36809221376422746,0.65,0.08494804299770062,4.698463103929543,0.0,1.1215007166283435
00.7,-0.321107582724932,0.65,0.09567255016398406,4.698463103929543,0.0,1.0234007166283434
00.8,-0.2741229516856366,0.65,0.10541605733026749,4.698463103929543,0.0,0.9253007166283435
00.9,-0.2271383206463412,0.65,0.11417856449655092,4.698463103929543,0.0,0.8272007166283435
01.,-0.18015368960704575,0.65,0.12196007166283435,4.698463103929543,0.0,0.7291007166283434
01.1,-0.1331690585677503,0.65,0.1287605788291178,4.698463103929543,0.0,0.6310007166283433
01.2,-0.0861844275284549,0.65,0.13458008599540122,4.698463103929543,0.0,0.5329007166283435
01.3,-0.0391997964891595,0.65,0.13941859316168465,4.698463103929543,0.0,0.4348007166283434
01.4,0.0077848345501360106,0.65,0.14327610032796811,4.698463103929543,0.0,0.33670071662834333
01.5,0.0547694655894313,0.65,0.1461526074942515,4.698463103929543,0.0,0.23860071662834348
01.6,0.10175409662872681,0.65,0.14804811466053497,4.698463103929543,0.0,0.1405007166283434
01.7,0.14873872766802232,0.65,0.14896262182681838,4.698463103929543,0.0,0.04240071662834333
01.8,0.1957233587073176,0.65,0.14889612899310184,4.698463103929543,0.0,-0.05569928337165653
01.9,0.24270798974661312,0.65,0.14784863615938526,4.698463103929543,0.0,-0.1537992833716566
02.,0.2896926207859085,0.65,0.14582014332566867,4.698463103929543,0.0,-0.2518992833716567
02.1,0.3366772518252039,0.65,0.14281065049195216,4.698463103929543,0.0,-0.3499992833716563
02.2,0.3836618828644994,0.65,0.13882015765823558,4.698463103929543,0.0,-0.44809928337165683
02.3,0.4306465139037948,0.65,0.13384866482451896,4.698463103929543,0.0,-0.5461992833716569
02.4,0.4776311449430902,0.65,0.12789617199080244,4.698463103929543,0.0,-0.6442992833716565
02.5,0.5246157759823856,0.65,0.12096267915708586,4.698463103929543,0.0,-0.7423992833716566
02.6,0.571600407021681,0.65,0.11304818632336927,4.698463103929543,0.0,-0.8404992833716567
02.7,0.6185850380609766,0.65,0.10415269348965273,4.698463103929543,0.0,-0.9385992833716568
02.8,0.665569669100272,0.65,0.09427620065593617,4.698463103929543,0.0,-1.0366992833716568
02.9,0.7125543001395672,0.65,0.0834187078222196,4.698463103929543,0.0,-1.1347992833716565
03.,0.7595389311788626,0.65,0.07158021498850298,4.698463103929543,0.0,-1.2328992833716566
03.1,0.8065235622181582,0.65,0.05876072215478645,4.698463103929543,0.0,-1.3309992833716566
03.2,0.8535081932574536,0.65,0.04496022932106991,4.698463103929543,0.0,-1.4290992833716567
03.3,0.900492824296749,0.65,0.030178736487353253,4.698463103929543,0.0,-1.5271992833716568
03.4,0.9474774553360447,0.65,0.014416243653636696,4.698463103929543,0.0,-1.6252992833716569
